Country_number,Country_name,Libertad Economica,Temperatura media superficie (2021),Tasa de suicidios (/100.000hab),Poblacion percibe corrupcion,Density (P/Km2),Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Co2-Emissions,CPI,Fertility Rate,Forested Area (%),GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Population,Labor force participation (%),Tax revenue (%),Unemployment rate,Urban_population,Latitude,Longitude,Renewables (% equivalent primary energy),Minimum wage,medianage
0  ,'Algeria'      ,482 ,2392 , 368333 ,752 ,  18 ,174 ,2381741 ,317000 ,2428 , 150006 ,15136 ,302 ,  80 , 169988236398 ,1099 , 514 ,201 ,767 , 43053054 ,412 ,372 , 117 , 31510100 ,28.033886 ,1.659626  , 261367 , 2163 ,29).
1  ,'Argentina'    ,477 ,1540 , 870290 ,834 ,  17 ,543 ,2780400 ,105000 ,1702 , 201348 ,23275 ,226 , 980 , 449663446954 ,1097 , 900 , 88 ,765 , 44938712 ,613 ,101 , 979 , 41339571 ,-3841610  ,-6361667  ,1132925 , 7108 ,32).
2  ,'Australia'    ,805 ,2205 ,1065003 ,442 ,   3 ,482 ,7741220 , 58000 ,1260 , 375908 ,11980 ,174 ,1630 ,1392680589329 ,1003 ,1131 , 31 ,827 , 25766605 ,655 ,230 , 527 , 21844756 ,-2527440  ,13377514  ,1293353 ,30152 ,38).
3  ,'Austria'      ,769 , 741 ,1653923 ,481 , 109 ,324 ,  83871 , 21000 , 970 ,  61448 ,11806 ,147 ,4690 , 446314739528 ,1031 , 851 , 29 ,816 ,  8877067 ,607 ,254 , 467 ,  5194416 ,4751623   ,1455007   ,3748179 ,    0 ,43).
4  ,'Azerbaijan'   ,599 ,1390 , 473333 ,506 , 123 ,577 ,  86600 , 82000 ,1400 ,  37620 ,15632 ,173 ,1410 ,  39207000000 , 997 , 277 ,192 ,729 , 10023318 ,665 ,130 , 551 ,  5616165 ,4014310   ,4757693   , 220154 , 1744 ,32).
5  ,'Bangladesh'   ,581 ,2570 , 495000 ,682 ,1265 ,706 , 148460 ,221000 ,1818 ,  84246 ,17968 ,204 ,1100 , 302571254131 ,1165 , 206 ,251 ,723 ,167310838 ,590 , 88 , 419 , 60987417 ,2368499   ,9035633   ,  65015 ,  224 ,28).
6  ,'Belarus'      ,623 , 733 ,4230710 ,627 ,  47 ,420 , 207600 ,155000 , 990 ,  58280 ,    0 ,145 ,4260 ,  63080457023 ,1005 , 874 , 26 ,742 ,  9466856 ,641 ,147 , 459 ,  7482982 ,5370981   ,2795339   ,  96986 , 2052 ,40).
7  ,'Belgium'      ,743 ,1048 ,2034690 ,646 , 383 ,446 ,  30528 , 32000 ,1030 ,  96889 ,11711 ,162 ,2260 , 529606710418 ,1039 , 797 , 29 ,816 , 11484055 ,536 ,240 , 559 , 11259082 ,5050389   ,446994    , 933641 ,22565 ,42).
8  ,'Brazil'       ,658 ,2557 , 469000 ,756 ,  25 ,339 ,8515770 ,730000 ,1392 , 462299 ,16740 ,173 ,5890 ,1839758040766 ,1154 , 513 ,128 ,757 ,212559417 ,639 ,142 ,1208 ,183241641 ,-1423500  ,-5192528  ,4621975 , 3644 ,33).
9  ,'Bulgaria'     ,746 ,1197 ,1350620 ,932 ,  64 ,463 , 110879 , 31000 , 890 ,  41708 ,11442 ,156 ,3540 ,  86000000000 , 893 , 710 , 59 ,749 ,  6975761 ,554 ,202 , 434 ,  5256027 ,4273388   ,2548583   ,1148653 , 4399 ,45).
10 ,'Canada'       ,798 , 370 ,1125687 ,415 ,   4 , 69 ,9984670 , 72000 ,1010 , 544894 ,11676 ,150 ,3820 ,1736425629520 ,1009 , 689 , 43 ,819 , 36991981 ,651 ,128 , 556 , 30628482 ,5613037   ,-10634677 ,2988844 ,21920 ,41).
11 ,'Chile'        ,766 , 981 ,1011173 ,830 ,  26 ,212 , 756096 ,122000 ,1243 ,  85822 ,13191 ,165 ,2430 , 282318159745 ,1014 , 885 , 62 ,800 , 18952038 ,626 ,182 , 709 , 16610135 ,-3567515  ,-7154297  ,2651888 , 6039 ,35).
12 ,'Colombia'     ,660 ,2497 , 417000 ,841 ,  46 ,403 ,1138910 ,481000 ,1488 ,  97814 ,14095 ,181 ,5270 , 323802808108 ,1145 , 553 ,122 ,771 , 50339443 ,688 ,144 , 971 , 40827302 ,457087    ,-7429733  ,3302041 , 4317 ,31).
13 ,'Croatia'      ,725 ,1219 ,1846353 ,939 ,  73 ,276 ,  56594 , 18000 , 900 ,  17488 ,10982 ,147 ,3440 ,  60415553039 , 965 , 679 , 40 ,781 ,  4067500 ,512 ,220 , 693 ,  2328318 ,4510000   ,1520000   ,2827194 , 6798 ,44).
14 ,'Denmark'      ,810 , 896 ,1474940 ,179 , 137 ,620 ,  43094 , 15000 ,1060 ,  31786 ,11035 ,173 ,1470 , 348078018464 ,1013 , 806 , 36 ,810 ,  5818553 ,622 ,324 , 491 ,  5119978 ,5626392   ,950178    ,3924958 ,    0 ,42).
15 ,'Ecuador'      ,646 ,2142 ,1001277 ,843 ,  71 ,222 , 283561 , 41000 ,1972 ,  41155 ,12414 ,243 ,5020 , 107435665000 ,1033 , 449 ,122 ,768 , 17373662 ,680 ,220 , 397 , 11116711 ,-183124   ,-7818341  ,3235420 , 5200 ,28).
16 ,'Estonia'      ,795 , 630 ,2147177 ,527 ,  31 ,231 ,  45228 ,  6000 ,1090 ,  16590 ,12214 ,159 ,5130 ,  31386949981 , 972 , 696 , 21 ,782 ,  1331824 ,636 ,209 , 511 ,   916024 ,5859527   ,2501361   ,1432505 , 7877 ,42).
17 ,'Finland'      ,781 , 234 ,2118197 ,186 ,  18 , 75 , 338145 , 25000 , 860 ,  45871 ,11233 ,141 ,7310 , 268761201365 ,1002 , 882 , 14 ,817 ,  5520314 ,591 ,208 , 659 ,  4716888 ,6192411   ,2574815   ,3461129 ,    0 ,43).
18 ,'France'       ,740 ,1158 ,1863033 ,571 , 119 ,524 , 643801 ,307000 ,1130 , 303276 ,11005 ,188 ,3120 ,2715518274227 ,1025 , 656 , 34 ,825 , 67059887 ,551 ,242 , 843 , 54123364 ,4622764   ,221375    ,1367101 ,21142 ,42).
19 ,'Germany'      ,773 , 949 ,1286067 ,460 , 240 ,477 , 357022 ,180000 , 950 , 727973 ,11285 ,156 ,3270 ,3845630030824 ,1040 , 702 , 31 ,809 , 83132799 ,608 ,115 , 304 , 64324835 ,5116569   ,1045153   ,1945312 ,22525 ,46).
20 ,'Greece'       ,694 ,1509 , 366667 ,823 ,  81 ,476 , 131957 ,146000 , 810 ,  62434 ,10187 ,135 ,3170 , 209852761469 , 996 ,1366 , 36 ,813 , 10716322 ,518 ,262 ,1724 ,  8507474 ,3907421   ,2182431   ,1939167 ,10731 ,46).
21 ,'Hungary'      ,736 ,1158 ,2541990 ,876 , 107 ,584 ,  93028 , 40000 , 960 ,  45537 ,12164 ,154 ,2290 , 160967157504 ,1008 , 485 , 36 ,758 ,  9769949 ,565 ,230 , 340 ,  6999582 ,4716249   ,1950330   , 681957 , 7040 ,43).
22 ,'Iceland'      ,793 , 243 ,1244790 ,673 ,   3 ,187 , 103000 ,     0 ,1200 ,   2065 ,12900 ,171 ,  50 ,  24188035739 ,1004 , 718 , 15 ,827 ,   361313 ,750 ,233 , 284 ,   339110 ,6496305   ,-1902084  ,8687454 ,    0 ,37).
23 ,'Indonesia'    ,693 ,2601 , 289667 ,867 , 151 ,315 ,1904569 ,676000 ,1807 , 563325 ,15118 ,231 ,4990 ,1119190780753 ,1064 , 363 ,211 ,715 ,270203917 ,675 ,102 , 469 ,151509724 ,-78928    ,11392133  ,1038571 , 2619 ,30).
24 ,'Iraq'         ,549 ,2421 , 383333 ,875 ,  93 ,214 , 438317 ,209000 ,2908 , 190061 ,11986 ,367 , 190 , 234094042939 ,1087 , 162 ,225 ,705 , 39309783 ,430 , 20 ,1282 , 27783368 ,3322319   ,4367929   , 150249 , 2534 ,21).
25 ,'Israel'       ,757 ,2086 , 549667 ,753 , 400 ,246 ,  20770 ,178000 ,2080 ,  65166 ,10815 ,309 , 770 , 395098666122 ,1049 , 634 , 30 ,828 ,  9053300 ,640 ,231 , 386 ,  8374393 ,3104605   ,3485161   , 513229 ,17667 ,30).
26 ,'Italy'        ,725 ,1352 , 673713 ,866 , 206 ,432 , 301340 ,347000 , 730 , 320411 ,11062 ,129 ,3180 ,2001244392042 ,1019 , 619 , 26 ,829 , 60297396 ,496 ,243 , 989 , 42651966 ,4187194   ,1256738   ,1836226 ,    0 ,47).
27 ,'Japan'        ,779 ,1245 ,2403497 ,638 , 347 ,123 , 377944 ,261000 , 740 ,1135886 ,10548 ,142 ,6850 ,5081769542380 , 988 , 632 , 18 ,842 ,126226568 ,617 ,119 , 229 ,115782416 ,3620482   ,13825292  ,1142900 ,15112 ,48).
28 ,'Kazakhstan'   ,713 , 783 ,3859753 ,733 ,   7 ,804 ,2724900 , 71000 ,2177 , 247207 ,18275 ,284 , 120 , 180161741180 ,1044 , 617 , 88 ,732 , 18513930 ,688 ,117 , 459 , 10652915 ,4801957   ,6692368   , 398857 , 1041 ,31).
29 ,'Latvia'       ,771 , 682 ,2414840 ,800 ,  30 ,311 ,  64589 ,  6000 ,1000 ,   7004 ,11686 ,160 ,5400 ,  34117202555 , 994 , 881 , 33 ,747 ,  1912789 ,614 ,229 , 652 ,  1304943 ,5687964   ,2460319   ,2391737 , 6088 ,44).
30 ,'Luxembourg'   ,791 , 977 ,1526737 ,386 , 242 ,537 ,   2586 ,  2000 ,1030 ,   8988 ,11509 ,137 ,3570 ,  71104919108 ,1023 , 192 , 19 ,821 ,   645397 ,593 ,265 , 536 ,   565488 ,4981527   ,612958    , 709517 ,29374 ,49).
31 ,'Malaysia'     ,719 ,2647 , 443000 ,839 ,  99 ,263 , 329847 ,136000 ,1675 , 248289 ,12146 ,200 ,6760 , 364701517788 ,1053 , 451 , 67 ,760 , 32447385 ,643 ,120 , 332 , 24475766 ,421048    ,10197577  , 805984 , 2566 ,30).
32 ,'Mexico'       ,702 ,2185 , 405000 ,799 ,  66 ,546 ,1964375 ,336000 ,1760 , 486406 ,14154 ,213 ,3390 ,1258286717125 ,1058 , 402 ,110 ,750 ,126014024 ,607 ,131 , 342 ,102626859 ,2363450   ,-10255278 ,1051475 , 2725 ,29).
33 ,'New Zealand'  ,843 ,1118 ,1317157 ,242 ,  18 ,405 , 268838 ,  9000 ,1198 ,  34382 ,11424 ,171 ,3860 , 206928765544 ,1000 , 820 , 47 ,819 ,  4841000 ,699 ,290 , 407 ,  4258860 ,-4090056  ,17488597  ,4021865 ,27881 ,38).
34 ,'Norway'       ,767 , 211 ,1278203 ,270 ,  15 , 27 , 323802 , 23000 ,1040 ,  41023 ,12027 ,156 ,3320 , 403336363636 ,1003 , 820 , 21 ,828 ,  5347896 ,638 ,239 , 335 ,  4418218 ,6047202   ,846895    ,7155836 ,    0 ,40).
35 ,'Pakistan'     ,598 ,2203 , 909450 ,787 , 287 ,478 , 796095 ,936000 ,2825 , 201150 ,18232 ,351 , 190 , 304400000000 , 943 ,  90 ,572 ,671 ,216565318 ,526 , 92 , 445 , 79927762 ,3037532   ,6934512   ,1062290 , 1724 ,23).
36 ,'Peru'         ,752 ,1979 , 269333 ,891 ,  26 ,185 ,1285216 ,158000 ,1795 ,  57414 ,12978 ,225 ,5770 , 226848050820 ,1069 , 707 ,111 ,765 , 32510453 ,776 ,143 , 331 , 25390339 ,-918997   ,-7501515  ,2774101 , 3423 ,31).
37 ,'Philippines'  ,701 ,2670 , 197800 ,742 , 368 ,417 , 300000 ,153000 ,2055 , 122287 ,12961 ,258 ,2780 , 376795508680 ,1075 , 355 ,225 ,711 ,108116615 ,596 ,140 , 215 , 50975903 ,1287972   ,12177402  ,1090163 , 2770 ,26).
38 ,'Poland'       ,712 , 875 ,1733693 ,735 , 124 ,469 , 312685 ,191000 ,1020 , 299037 ,11411 ,146 ,3090 , 592164400688 ,1000 , 678 , 38 ,776 , 37970874 ,567 ,174 , 347 , 22796574 ,5191944   ,1914514   , 776169 , 8254 ,42).
39 ,'Portugal'     ,754 ,1610 ,1163907 ,887 , 111 ,395 ,  92212 , 52000 , 850 ,  48742 ,11062 ,138 ,3460 , 237686075635 ,1062 , 639 , 31 ,813 , 10269417 ,588 ,228 , 633 ,  6753579 ,3939987   ,-822445   ,3270395 , 9910 ,46).
40 ,'Romania'      ,770 ,1035 ,1305893 ,938 ,  84 ,588 , 238391 ,126000 , 960 ,  69259 ,12378 ,171 ,3010 , 250077444017 , 852 , 494 , 61 ,754 , 19356544 ,547 ,146 , 398 , 10468793 ,4594316   ,2496676   ,1748103 , 6163 ,43).
41 ,'Slovenia'     ,723 ,1000 ,2815140 ,806 , 103 ,307 ,  20273 ,  7000 , 940 ,  12633 ,11105 ,160 ,6200 ,  53742159517 ,1004 , 786 , 17 ,810 ,  2087946 ,584 ,186 , 420 ,  1144654 ,4615124   ,1499546   ,1876845 ,12553 ,45).
42 ,'South Africa' ,653 ,1806 ,2371253 ,860 ,  49 ,798 ,1219090 , 80000 ,2051 , 476644 ,15893 ,241 , 760 , 351431649241 ,1009 , 224 ,285 ,639 , 58558270 ,560 ,275 ,2818 , 39149717 ,-3055948  ,2293751   , 340861 , 3511 ,28).
43 ,'Spain'        ,752 ,1431 , 753647 ,745 ,  94 ,526 , 505370 ,196000 , 790 , 244002 ,11096 ,126 ,3690 ,1394116310769 ,1027 , 889 , 25 ,833 , 47076781 ,575 ,142 ,1396 , 37927409 ,4046367   ,-374922   ,2234166 ,15687 ,45).
44 ,'Sri Lanka'    ,613 ,2740 ,1838990 ,863 , 341 ,437 ,  65610 ,317000 ,1583 ,  23362 ,15553 ,220 ,3290 ,  84008783756 ,1002 , 196 , 64 ,768 , 21803000 ,539 ,119 , 420 ,  4052088 ,787305    ,8077180   ,2140453 ,  787 ,34).
45 ,'Sweden'       ,781 , 308 ,1501253 ,237 ,  25 , 74 , 450295 , 30000 ,1140 ,  43252 ,11051 ,176 ,6890 , 530832908738 ,1266 , 670 , 22 ,825 , 10285453 ,646 ,279 , 648 ,  9021165 ,6012816   ,1864350   ,5092401 ,    0 ,41).
46 ,'Switzerland'  ,847 , 639 ,1891830 ,292 , 219 ,384 ,  41277 , 21000 ,1000 ,  34477 , 9955 ,152 ,3180 , 703082435360 ,1052 , 596 , 37 ,836 ,  8574832 ,683 ,101 , 458 ,  6332428 ,4681819   ,822751    ,3671664 ,34284 ,43).
47 ,'Thailand'     ,707 ,2690 , 892977 ,895 , 137 ,433 , 513120 ,455000 ,1034 , 283763 ,11327 ,153 ,3220 , 543649976166 , 998 , 493 , 78 ,769 , 69625582 ,673 ,149 ,  75 , 35294600 ,1587003   ,10099254  , 711362 , 3034 ,40).
48 ,'Ukraine'      ,617 , 937 ,3193023 ,924 ,  75 ,717 , 603550 ,297000 , 870 , 202250 ,28166 ,130 ,1670 , 153781069118 , 990 , 827 , 75 ,716 , 44385155 ,542 ,201 , 888 , 30835699 ,4837943   ,3116558   , 610084 , 2131 ,41).

