,Country,Tasa de suicidios (/100.000hab)
0,Afghanistan,4.8999999999999995
1,Africa,8.427766666666667
2,Albania,7.766666666666667
3,Algeria,3.6833333333333336
4,Americas,7.956366666666667
5,Angola,8.581733333333334
6,Antigua and Barbuda,0.486
7,Argentina,8.7029
8,Armenia,5.986666666666667
9,Australia,10.650033333333333
10,Austria,16.539233333333332
11,Azerbaijan,4.733333333333333
12,Bahamas,3.5
13,Bahrain,7.631166666666666
14,Bangladesh,4.95
15,Barbados,1.6653333333333336
16,Belarus,42.3071
17,Belgium,20.3469
18,Belize,5.6066666666666665
19,Benin,8.6537
20,Bhutan,4.4
21,Bolivia (Plurinational State of),5.896666666666667
22,Bosnia and Herzegovina,10.759300000000001
23,Botswana,32.3264
24,Brazil,4.69
25,Brunei Darussalam,2.8866666666666667
26,Bulgaria,13.5062
27,Burkina Faso,8.106900000000001
28,Burundi,8.9608
29,Cabo Verde,13.247399999999999
30,Cambodia,5.696666666666666
31,Cameroon,11.715866666666665
32,Canada,11.256866666666667
33,Central African Republic,15.778066666666668
34,Chad,7.4814
35,Chile,10.111733333333333
36,China,12.100033333333334
37,Colombia,4.17
38,Comoros,5.373333333333334
39,Congo,9.644466666666668
40,Costa Rica,8.431633333333332
41,Croatia,18.463533333333334
42,Cuba,12.722500000000002
43,Cyprus,3.4800000000000004
44,Czechia,14.6031
45,Côte d'Ivoire,11.463799999999999
46,Democratic People's Republic of Korea,8.936666666666666
47,Democratic Republic of the Congo,7.4284
48,Denmark,14.7494
49,Djibouti,7.44
50,Dominican Republic,4.72
51,Eastern Mediterranean,6.086666666666666
52,Ecuador,10.012766666666666
53,Egypt,3.0766666666666667
54,El Salvador,6.778233333333333
55,Equatorial Guinea,9.055566666666666
56,Eritrea,13.2062
57,Estonia,21.471766666666667
58,Eswatini,47.96563333333333
59,Ethiopia,7.847033333333333
60,Europe,18.8306
61,Fiji,9.184466666666667
62,Finland,21.181966666666664
63,France,18.630333333333333
64,Gabon,10.618666666666668
65,Gambia,5.736666666666667
66,Georgia,6.271466666666666
67,Germany,12.860666666666665
68,Ghana,7.0061333333333335
69,Greece,3.6666666666666665
70,Grenada,5.086666666666667
71,Guatemala,10.837033333333332
72,Guinea,6.016666666666667
73,Guinea-Bissau,8.471533333333333
74,Guyana,30.664866666666665
75,Haiti,9.593333333333334
76,High-income economies,13.935466666666665
77,Honduras,2.1616666666666666
78,Hungary,25.4199
79,Iceland,12.447899999999999
80,India,15.566633333333334
81,Indonesia,2.8966666666666665
82,Iran (Islamic Republic of),5.973333333333334
83,Iraq,3.8333333333333335
84,Ireland,10.9305
85,Israel,5.496666666666667
86,Italy,6.737133333333333
87,Jamaica,1.537
88,Japan,24.034966666666666
89,Jordan,1.8466666666666667
90,Kazakhstan,38.59753333333333
91,Kenya,6.033333333333334
92,Kiribati,29.559766666666665
93,Kuwait,2.5233333333333334
94,Kyrgyzstan,13.1993
95,Lao People's Democratic Republic,6.4433333333333325
96,Latvia,24.1484
97,Lebanon,2.46
98,Lesotho,40.7535
99,Liberia,4.746666666666667
100,Libya,4.193333333333333
101,Lithuania,36.4439
102,Low-income economies,7.1499999999999995
103,Lower-middle-income economies,11.385233333333334
104,Luxembourg,15.267366666666668
105,Madagascar,5.793333333333333
106,Malawi,7.512966666666666
107,Malaysia,4.43
108,Maldives,3.0406666666666666
109,Mali,4.513333333333333
110,Malta,6.798166666666667
111,Mauritania,3.23
112,Mauritius,9.238933333333334
113,Mexico,4.05
114,Micronesia (Federated States of),24.435066666666668
115,Mongolia,23.744733333333333
116,Montenegro,22.464933333333335
117,Morocco,9.287866666666666
118,Mozambique,12.781266666666665
119,Myanmar,4.123333333333333
120,Namibia,17.982433333333333
121,Nepal,7.749066666666667
122,Netherlands (Kingdom of the),9.590133333333334
123,New Zealand,13.171566666666665
124,Nicaragua,4.623333333333333
125,Niger,5.236666666666667
126,Nigeria,4.696666666666666
127,North Macedonia,9.661633333333333
128,Norway,12.782033333333333
129,Oman,6.126533333333334
130,Pakistan,9.094499999999998
131,Panama,5.627400000000001
132,Papua New Guinea,2.4066666666666667
133,Paraguay,4.223333333333334
134,Peru,2.6933333333333334
135,Philippines,1.978
136,Poland,17.33693333333333
137,Portugal,11.639066666666666
138,Qatar,5.913333333333334
139,Republic of Korea,23.6525
140,Republic of Moldova,20.0839
141,Romania,13.058933333333334
142,Russian Federation,46.29583333333333
143,Rwanda,8.4567
144,Saint Lucia,7.6337
145,Saint Vincent and the Grenadines,6.128733333333334
146,Samoa,12.867666666666667
147,Sao Tome and Principe,1.4863333333333333
148,Saudi Arabia,3.7600000000000002
149,Senegal,7.093766666666667
150,Serbia,19.571033333333332
151,Seychelles,8.107466666666667
152,Sierra Leone,6.466666666666666
153,Singapore,11.709966666666666
154,Slovakia,14.727133333333333
155,Slovenia,28.1514
156,Solomon Islands,13.9172
157,Somalia,8.669766666666666
158,South Africa,23.712533333333337
159,South Sudan,3.8800000000000003
160,South-East Asia,12.2305
161,Spain,7.536466666666667
162,Sri Lanka,18.3899
163,Sudan,4.14
164,Suriname,24.56866666666667
165,Sweden,15.012533333333332
166,Switzerland,18.9183
167,Syrian Arab Republic,1.3486666666666667
168,Tajikistan,3.6366666666666667
169,Thailand,8.929766666666666
170,Timor-Leste,2.7266666666666666
171,Togo,11.069
172,Tonga,3.956666666666667
173,Trinidad and Tobago,11.365433333333334
174,Tunisia,3.67
175,Turkmenistan,15.157366666666666
176,Türkiye,2.6933333333333334
177,Uganda,9.4138
178,Ukraine,31.930233333333334
179,United Arab Emirates,7.349733333333333
180,United Kingdom of Great Britain and Northern Ireland,7.8447
181,United Republic of Tanzania,5.34
182,United States of America,12.186866666666667
183,Upper-middle-income economies,11.528466666666667
184,Uruguay,15.668766666666665
185,Uzbekistan,8.796866666666666
186,Vanuatu,19.023300000000003
187,Venezuela (Bolivarian Republic of),3.94
188,Viet Nam,6.43
189,Western Pacific,12.270833333333334
190,World,11.556266666666668
191,Yemen,5.830000000000001
192,Zambia,11.695066666666667
193,Zimbabwe,14.385866666666667
